model	source	target	convention	row	position	c_begin	c_end	layer_range	gamma	w	src_seeds	tgt_seeds	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
qwen3.5-9b	WW-HC	WW-AG	test	base	embed	2	13		0.0		13,14,15	3,4,5	0.2962962962962963	0.49206349206349204	0.2169312169312169	0.4074074074074074
qwen3.5-9b	WW-HC	WW-AG	test	soap	embed	2	13	0-2	0.8	2	13,14,15	3,4,5	0.3544973544973544	0.5502645502645502	0.2962962962962963	0.4920634920634921
qwen3.5-9b	WW-HC	WW-AG	val	base	embed	17	20		0.0		13,14,15	3,4,5	0.24338624338624337	0.42328042328042326	0.2698412698412698	0.5079365079365079
qwen3.5-9b	WW-HC	WW-AG	val	soap	embed	17	20	6-8	0.2	1	13,14,15	3,4,5	0.23809523809523805	0.42328042328042326	0.30158730158730157	0.544973544973545
qwen3.5-9b	WW-HC	WW-HC	test	base	act/31	0	5		0.0		13,14,15	13,14,15	0.3333333333333333	0.6781609195402298	0.20689655172413793	0.632183908045977
qwen3.5-9b	WW-HC	WW-HC	test	soap	act/31	0	5	4-6	0.1	2	13,14,15	13,14,15	0.3448275862068966	0.6781609195402298	0.19540229885057472	0.5977011494252874
qwen3.5-9b	WW-HC	WW-HC	val	base	act/31	0	13		0.0		13,14,15	13,14,15	0.3103448275862069	0.6666666666666666	0.21839080459770113	0.6206896551724138
qwen3.5-9b	WW-HC	WW-HC	val	soap	act/31	0	13	6-8	0.0	all	13,14,15	13,14,15	0.3103448275862069	0.6666666666666666	0.21839080459770113	0.6206896551724138
qwen3.5-9b	WW-HC	TE-Mag	test	base	act/23	0	5		0.0		13,14,15	15,16,17	0.2028985507246377	0.6521739130434782	0.17037037037037037	0.6296296296296297
qwen3.5-9b	WW-HC	TE-Mag	test	soap	act/23	0	5	6-8	0.8	4	13,14,15	15,16,17	0.2246376811594203	0.7318840579710145	0.14074074074074075	0.6666666666666666
qwen3.5-9b	WW-HC	TE-Mag	val	base	act/23	0	5		0.0		13,14,15	15,16,17	0.2028985507246377	0.6521739130434782	0.17037037037037037	0.6296296296296297
qwen3.5-9b	WW-HC	TE-Mag	val	soap	act/23	0	5	0-2	0.2	4	13,14,15	15,16,17	0.2101449275362319	0.6884057971014492	0.1777777777777778	0.6592592592592593
