with_gt	judge	method	dataset	subset	seeds	n_preds	n_test	n_missing	n_null_step	step_acc	agent_acc	agent_acc_substring	family	train_seed
False	deepseek-8b	oat.s42	correct-error	arc	17,18,19	304	152.0	0	0.0	0.8289473684210527	0.8421052631578947	0.8421052631578947	oat	42
False	deepseek-8b	oat.s42	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.5066666666666667	0.7200000000000001	0.7200000000000001	oat	42
False	deepseek-8b	oat.s42	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.4002306805074971	0.7035755478662052	0.7035755478662052	oat	42
False	deepseek-8b	oat.s42	correct-error	math500	17,18,19	157	79.0	0	0.0	0.5147679324894514	0.510548523206751	0.510548523206751	oat	42
False	deepseek-8b	oat.s42	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.7173913043478262	0.8115942028985508	0.8115942028985508	oat	42
False	deepseek-8b	oat.s42	correct-error	musique	17,18,19	312	156.0	0	0.0	0.34188034188034183	0.6752136752136751	0.6752136752136751	oat	42
False	deepseek-8b	oat.s42	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.3623978201634877	0.5858310626702997	0.5858310626702997	oat	42
False	deepseek-8b	oat.s42	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.17829457364341086	0.5193798449612402	0.5193798449612402	oat	42
False	deepseek-8b	oat.s42	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.13768115942028986	0.6521739130434783	0.6521739130434783	oat	42
False	deepseek-8b	oat.s42	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.13227513227513227	0.4497354497354497	0.4497354497354497	oat	42
False	deepseek-8b	oat.s42	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.19540229885057472	0.5862068965517241	0.5862068965517241	oat	42
False	deepseek-8b	oat.s43	correct-error	arc	17,18,19	304	152.0	0	0.0	0.8245614035087719	0.8442982456140351	0.8442982456140351	oat	43
False	deepseek-8b	oat.s43	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.5066666666666667	0.7200000000000001	0.7200000000000001	oat	43
False	deepseek-8b	oat.s43	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.4163783160322953	0.7012687427912341	0.7012687427912341	oat	43
False	deepseek-8b	oat.s43	correct-error	math500	17,18,19	157	79.0	0	0.0	0.5189873417721519	0.5063291139240507	0.5063291139240507	oat	43
False	deepseek-8b	oat.s43	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.7101449275362319	0.7971014492753623	0.7971014492753623	oat	43
False	deepseek-8b	oat.s43	correct-error	musique	17,18,19	312	156.0	0	0.0	0.35683760683760685	0.6495726495726496	0.6495726495726496	oat	43
False	deepseek-8b	oat.s43	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.3814713896457766	0.594913714804723	0.594913714804723	oat	43
False	deepseek-8b	oat.s43	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.16279069767441862	0.49612403100775193	0.49612403100775193	oat	43
False	deepseek-8b	oat.s43	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.13043478260869565	0.6376811594202899	0.6376811594202899	oat	43
False	deepseek-8b	oat.s43	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.12169312169312169	0.4021164021164021	0.4021164021164021	oat	43
False	deepseek-8b	oat.s43	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.14942528735632185	0.5287356321839081	0.5287356321839081	oat	43
False	deepseek-8b	oat.s44	correct-error	arc	17,18,19	304	152.0	0	0.0	0.831140350877193	0.8442982456140351	0.8442982456140351	oat	44
False	deepseek-8b	oat.s44	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.5066666666666667	0.7466666666666667	0.7466666666666667	oat	44
False	deepseek-8b	oat.s44	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.4186851211072664	0.6966551326412919	0.6966551326412919	oat	44
False	deepseek-8b	oat.s44	correct-error	math500	17,18,19	157	79.0	0	0.0	0.5063291139240507	0.510548523206751	0.510548523206751	oat	44
False	deepseek-8b	oat.s44	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.6956521739130435	0.8188405797101449	0.8188405797101449	oat	44
False	deepseek-8b	oat.s44	correct-error	musique	17,18,19	312	156.0	0	0.0	0.36752136752136755	0.6837606837606837	0.6837606837606837	oat	44
False	deepseek-8b	oat.s44	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.3751135331516802	0.5967302452316076	0.5967302452316076	oat	44
False	deepseek-8b	oat.s44	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.17829457364341086	0.4573643410852713	0.4573643410852713	oat	44
False	deepseek-8b	oat.s44	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.13043478260869565	0.6159420289855073	0.6159420289855073	oat	44
False	deepseek-8b	oat.s44	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.12169312169312169	0.42328042328042326	0.42328042328042326	oat	44
False	deepseek-8b	oat.s44	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.14942528735632185	0.5747126436781609	0.5747126436781609	oat	44
False	deepseek-8b	oat.s45	correct-error	arc	17,18,19	304	152.0	0	0.0	0.8355263157894738	0.8552631578947368	0.8552631578947368	oat	45
False	deepseek-8b	oat.s45	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.48	0.68	0.68	oat	45
False	deepseek-8b	oat.s45	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.4175317185697809	0.7058823529411765	0.7058823529411765	oat	45
False	deepseek-8b	oat.s45	correct-error	math500	17,18,19	157	79.0	0	0.0	0.5189873417721519	0.5189873417721519	0.5189873417721519	oat	45
False	deepseek-8b	oat.s45	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.7101449275362319	0.7971014492753623	0.7971014492753623	oat	45
False	deepseek-8b	oat.s45	correct-error	musique	17,18,19	312	156.0	0	0.0	0.3461538461538461	0.6752136752136751	0.6752136752136751	oat	45
False	deepseek-8b	oat.s45	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.3569482288828338	0.5794732061762035	0.5794732061762035	oat	45
False	deepseek-8b	oat.s45	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.20155038759689922	0.5116279069767442	0.5116279069767442	oat	45
False	deepseek-8b	oat.s45	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.12318840579710144	0.6231884057971014	0.6231884057971014	oat	45
False	deepseek-8b	oat.s45	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.13227513227513227	0.4444444444444444	0.4444444444444444	oat	45
False	deepseek-8b	oat.s45	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.1149425287356322	0.5747126436781609	0.5747126436781609	oat	45
False	deepseek-8b	oat.s46	correct-error	arc	17,18,19	304	152.0	0	0.0	0.831140350877193	0.8552631578947368	0.8552631578947368	oat	46
False	deepseek-8b	oat.s46	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.4533333333333333	0.7066666666666667	0.7066666666666667	oat	46
False	deepseek-8b	oat.s46	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.40369088811995385	0.6931949250288351	0.6931949250288351	oat	46
False	deepseek-8b	oat.s46	correct-error	math500	17,18,19	157	79.0	0	0.0	0.49789029535864976	0.48945147679324896	0.48945147679324896	oat	46
False	deepseek-8b	oat.s46	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.7246376811594203	0.7971014492753623	0.7971014492753623	oat	46
False	deepseek-8b	oat.s46	correct-error	musique	17,18,19	312	156.0	0	0.0	0.3461538461538462	0.6688034188034188	0.6688034188034188	oat	46
False	deepseek-8b	oat.s46	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.3651226158038147	0.5812897366030881	0.5812897366030881	oat	46
False	deepseek-8b	oat.s46	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.17829457364341086	0.5193798449612403	0.5193798449612403	oat	46
False	deepseek-8b	oat.s46	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.13043478260869565	0.6666666666666666	0.6666666666666666	oat	46
False	deepseek-8b	oat.s46	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.12698412698412698	0.3968253968253968	0.3968253968253968	oat	46
False	deepseek-8b	oat.s46	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.1839080459770115	0.5517241379310345	0.5517241379310345	oat	46
False	deepseek-8b	stepfinder.s42	correct-error	arc	17,18,19	304	152.0	0	0.0	0.75	0.8530701754385964	0.8530701754385964	stepfinder	42
False	deepseek-8b	stepfinder.s42	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.4266666666666667	0.7733333333333334	0.7733333333333334	stepfinder	42
False	deepseek-8b	stepfinder.s42	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.1510957324106113	0.7104959630911187	0.7104959630911187	stepfinder	42
False	deepseek-8b	stepfinder.s42	correct-error	math500	17,18,19	157	79.0	0	0.0	0.39662447257383965	0.5232067510548523	0.5232067510548523	stepfinder	42
False	deepseek-8b	stepfinder.s42	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.6449275362318841	0.7971014492753623	0.7971014492753623	stepfinder	42
False	deepseek-8b	stepfinder.s42	correct-error	musique	17,18,19	312	156.0	0	0.0	0.1581196581196581	0.7008547008547009	0.7008547008547009	stepfinder	42
False	deepseek-8b	stepfinder.s42	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.06630336058128973	0.6821071752951862	0.6821071752951862	stepfinder	42
False	deepseek-8b	stepfinder.s42	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.18604651162790697	0.5658914728682171	0.5658914728682171	stepfinder	42
False	deepseek-8b	stepfinder.s42	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.057971014492753624	0.5942028985507246	0.5942028985507246	stepfinder	42
False	deepseek-8b	stepfinder.s42	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.2169312169312169	0.5132275132275131	0.5132275132275131	stepfinder	42
False	deepseek-8b	stepfinder.s42	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.13793103448275862	0.4252873563218391	0.4252873563218391	stepfinder	42
False	deepseek-8b	stepfinder.s43	correct-error	arc	17,18,19	304	152.0	0	0.0	0.4868421052631579	0.5635964912280702	0.5635964912280702	stepfinder	43
False	deepseek-8b	stepfinder.s43	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.21333333333333335	0.5333333333333333	0.5333333333333333	stepfinder	43
False	deepseek-8b	stepfinder.s43	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.21107266435986158	0.6332179930795848	0.6332179930795848	stepfinder	43
False	deepseek-8b	stepfinder.s43	correct-error	math500	17,18,19	157	79.0	0	0.0	0.2995780590717299	0.3206751054852321	0.3206751054852321	stepfinder	43
False	deepseek-8b	stepfinder.s43	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.38405797101449274	0.5434782608695652	0.5434782608695652	stepfinder	43
False	deepseek-8b	stepfinder.s43	correct-error	musique	17,18,19	312	156.0	0	0.0	0.19444444444444442	0.6004273504273504	0.6004273504273504	stepfinder	43
False	deepseek-8b	stepfinder.s43	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.1298819255222525	0.6194368755676658	0.6194368755676658	stepfinder	43
False	deepseek-8b	stepfinder.s43	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.11627906976744186	0.37209302325581395	0.37209302325581395	stepfinder	43
False	deepseek-8b	stepfinder.s43	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.0	0.3043478260869565	0.3043478260869565	stepfinder	43
False	deepseek-8b	stepfinder.s43	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.25396825396825395	0.5185185185185185	0.5185185185185185	stepfinder	43
